Dataset,leaf_size,N_neighbors,p,Accuracy
Seed,50,25,3,0.904637097
Seed,30,25,3,0.904637097
Seed,40,25,3,0.904637097
Seed,40,25,7,0.89858871
Seed,50,25,7,0.89858871
Seed,30,25,7,0.89858871
Seed,40,15,3,0.891935484
Seed,30,15,7,0.891935484
Seed,30,15,5,0.891935484
Seed,50,15,3,0.891935484
Seed,50,15,5,0.891935484
Seed,50,15,7,0.891935484
Seed,30,15,3,0.891935484
Seed,40,15,7,0.891935484
Seed,40,15,5,0.891935484
Seed,30,7,3,0.91134952
Seed,30,7,5,0.91134952
Seed,50,7,5,0.91134952
Seed,50,7,3,0.91134952
Seed,40,7,3,0.91134952
Seed,40,7,5,0.91134952
Seed,50,25,3,0.911067194
Seed,50,7,7,0.911067194
Seed,40,25,7,0.911067194
Seed,40,25,5,0.911067194
Seed,40,25,3,0.911067194
Seed,50,25,5,0.911067194
Seed,50,25,7,0.911067194
Seed,40,7,7,0.911067194
Seed,30,25,7,0.911067194
Seed,30,25,5,0.911067194
Seed,30,25,3,0.911067194
Seed,30,7,7,0.911067194
Seed,30,15,3,0.898362507
Seed,50,15,3,0.898362507
Seed,40,15,3,0.898362507
Seed,40,15,7,0.891869001
Seed,30,15,7,0.891869001
Seed,30,15,5,0.891869001
Seed,50,15,5,0.891869001
Seed,50,15,7,0.891869001
Seed,40,15,5,0.891869001
